日期,车架号,型号,系列,公里数,城市,价格,续航,时速,百公里加速
2024-07-27,5YJSA7E65PF510108,2023 Model S,Plaid,31634,青岛,672800,672,322,2.1
2024-07-27,LRW3E7EA4LC001581,2020 Model 3,标准续航升级版 特斯拉中国 2020-01,67046,广州,136800,445,225,5.6
2024-07-27,LRW3E7FA1LC149959,2020 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2020-10,64868,深圳,138800,468,225,5.6
2024-07-27,LRW3E7FAXMC199583,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,97049,上海,142300,468,225,5.6
2024-07-27,LRW3E7FA2MC304343,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,91936,广州,143600,468,225,5.6
2024-07-27,LRW3E7FA1MC160834,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,63656,北京,147800,468,225,5.6
2024-07-27,LRW3E7FA8MC159941,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,55034,北京,148600,468,225,5.6
2024-07-27,LRW3E7FA5MC248222,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,36803,深圳,158600,468,225,5.6
2024-07-27,LRW3E7FS6NC531206,2022 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,26603,深圳,167900,556,225,6.1
2024-07-27,LRW3E7FS4PC768778,2023 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,22824,成都,184000,556,225,6.1
2024-07-27,LRW3E7FS8PC917824,2023 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,29130,上海,186200,556,225,6.1
2024-07-27,LRW3E7FS1PC800943,2023 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,16908,杭州,189400,556,225,6.1
2024-07-27,LRW3E7EC2MC208893,2021 Model 3,Model 3 Performance 高性能全轮驱动版 特斯拉中国 2021-01,44335,上海,202300,605,261,3.3
2024-07-27,LRW3E7EK8PC010461,2023 Model 3,Model 3 长续航全轮驱动版,5747,大连,253800,713,200,4.4
2024-07-27,7SAXCCE57RF444117,2024 Model X,Model X 全轮驱动版,68,苏州,737800,700,250,3.9
2024-07-27,LRWYGCFS3NC283960,2022 Model Y,Model Y 后轮驱动版 特斯拉中国 2022-01,59561,台州,192500,545,217,6.9
2024-07-27,LRWYGCEK6MC038862,2021 Model Y,Model Y 长续航全轮驱动版 特斯拉中国 2021-01,64955,深圳,193700,594,217,5.0
2024-07-27,LRWYGCFS7PC845247,2023 Model Y,Model Y 后轮驱动版 特斯拉中国 2022-01,39132,成都,198800,545,217,6.9
2024-07-27,LRWYGCFS2PC927905,2023 Model Y,Model Y 后轮驱动版 特斯拉中国 2022-01,35387,厦门,200800,545,217,6.9
2024-07-27,LRWYGCEK9NC305204,2022 Model Y,Model Y 长续航全轮驱动版 特斯拉中国 2021-11,31148,济南,228700,660,217,5.0
2024-07-27,LRWYGCEK8NC366298,2022 Model Y,Model Y 长续航全轮驱动版 特斯拉中国 2021-11,29796,合肥,229700,660,217,5.0
2024-07-29,5YJSA7E65PF510108,2023 Model S,Plaid,31634,青岛,672800,672,322,2.1
2024-07-29,LRW3E7FAXMC199583,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,97049,上海,142300,468,225,5.6
2024-07-29,LRW3E7FA2MC304343,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,91936,广州,143600,,,
2024-07-29,LRW3E7FA1MC160834,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,63656,北京,147800,468,225,5.6
2024-07-29,LRW3E7FA8MC159941,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,55034,北京,148600,468,225,5.6
2024-07-29,LRW3E7FA5MC248222,2021 Model 3,Model 3 标准续航后轮驱动升级版 特斯拉中国 2021-01,36803,深圳,158600,468,225,5.6
2024-07-29,LRW3E7FS4PC768778,2023 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,22824,成都,184000,556,225,6.1
2024-07-29,LRW3E7FS8PC917824,2023 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,29130,上海,186200,556,225,6.1
2024-07-29,LRW3E7FS1PC800943,2023 Model 3,Model 3 后轮驱动版 特斯拉中国 2022-01,16908,杭州,189400,556,225,6.1
2024-07-29,LRW3E7EC2MC208893,2021 Model 3,Model 3 Performance 高性能全轮驱动版 特斯拉中国 2021-01,44335,上海,202300,605,261,3.3
2024-07-29,LRW3E7EK8PC010461,2023 Model 3,Model 3 长续航全轮驱动版,5747,大连,253800,713,200,4.4
2024-07-29,7SAXCCE57RF444117,2024 Model X,Model X 全轮驱动版,68,苏州,737800,700,250,3.9
2024-07-29,LRWYGCFS3NC283960,2022 Model Y,Model Y 后轮驱动版 特斯拉中国 2022-01,59561,台州,192500,545,217,6.9
2024-07-29,LRWYGCEK6MC038862,2021 Model Y,Model Y 长续航全轮驱动版 特斯拉中国 2021-01,64955,深圳,193700,,,
2024-07-29,LRWYGCFS2PC927905,2023 Model Y,Model Y 后轮驱动版 特斯拉中国 2022-01,35387,厦门,200800,545,217,6.9
2024-07-29,LRWYGCEK9NC305204,2022 Model Y,Model Y 长续航全轮驱动版 特斯拉中国 2021-11,31148,济南,228700,660,217,5
